"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","82","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","40","1","23","82","27"
"01/02/2016","68","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","16","41","1","22","68","25"
"01/03/2016","77","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","7","40","3","26","77","27"
"01/04/2016","68","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","39","4","19","68","24"
"01/05/2016","45","PM2.5","Davis-UCD Campus","06-113-0004","AQS","7","37","4","7","45","26"
"01/06/2016","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","8","39","4","5","30","24"
"01/07/2016","37","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","34","4","10","37","28"
"01/08/2016","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","33","3","24","63","31"
"01/09/2016","58","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","37","1","14","58","25"
"01/10/2016","54","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","38","1","10","54","26"
"01/11/2016","48","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","36","1","11","48","22"
"01/12/2016","65","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","10","44","3","18","65","26"
"01/13/2016","57","PM2.5","Davis-UCD Campus","06-113-0004","AQS","7","43","3","16","57","21"
"01/14/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","10","41","3","13","30","22"
"01/15/2016","48","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","37","4","13","48","25"
"01/16/2016","51","PM2.5","Davis-UCD Campus","06-113-0004","AQS","10","32","3","11","51","24"
"01/17/2016","57","PM2.5","Davis-UCD Campus","06-113-0004","AQS","11","39","4","14","57","20"
"01/18/2016","40","PM2.5","Davis-UCD Campus","06-113-0004","AQS","9","39","4","6","40","25"
"01/19/2016","48","Ozone","Lincoln-1st Street","06-061-2002","AQS","9","48","6","6","45","9"
"01/20/2016","44","Ozone","Lincoln-1st Street","06-061-2002","AQS","10","44","4","27","38","26"
"01/21/2016","55","PM2.5","Davis-UCD Campus","06-113-0004","AQS","9","41","6","21","55","18"
"01/22/2016","55","PM2.5","Davis-UCD Campus","06-113-0004","AQS","9","42","6","8","55","18"
"01/23/2016","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","9","41","6","9","28","15"
"01/24/2016","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","11","37","4","8","27","23"
"01/25/2016","41","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","35","6","12","41","30"
"01/26/2016","40","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","34","4","26","40","25"
"01/27/2016","50","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","36","6","26","50","28"
"01/28/2016","69","PM2.5","Davis-UCD Campus","06-113-0004","AQS","16","37","6","18","69","25"
"01/29/2016","78","PM2.5","Davis-UCD Campus","06-113-0004","AQS","13","35","1","14","78","19"
"01/30/2016","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","9","37","3","3","20","23"
"01/31/2016","38","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","8","38","4","7","15","15"
"02/01/2016","38","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","10","38","3","6","22","34"
"02/02/2016","39","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","37","0","10","39","26"
"02/03/2016","48","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","39","0","12","48","27"
"02/04/2016","36","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","11","36",".","21","35","28"
"02/05/2016","56","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","37","0","27","56","31"
"02/06/2016","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","39","1","31","59","26"
"02/07/2016","62","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","44","3","25","62","28"
"02/08/2016","68","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","43","3","25","68","34"
"02/09/2016","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","38","3","26","54","35"
"02/10/2016","60","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","39","3","26","60","28"
"02/11/2016","72","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","38","4","37","72","39"
"02/12/2016","72","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","15","39","4","35","72","35"
"02/13/2016","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","39","4","30","61","32"
"02/14/2016","54","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","34","4","28","54","24"
"02/15/2016","56","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","11","43","6","20","56","32"
"02/16/2016","74","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","42","7","26","74","36"
"02/17/2016","69","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","44","9","27","69","23"
"02/18/2016","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","11","43","7","9","34","22"
"02/19/2016","43","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","11","43","6","10","35","19"
"02/20/2016","50","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","14","44","6","23","50","30"
"02/21/2016","67","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","46","6","19","67","27"
"02/22/2016","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","15","45","6","25","45","27"
"02/23/2016","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","13","47","7","32","54","41"
"02/24/2016","95","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","47","7","29","95","44"
"02/25/2016","67","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","15","47","7","30","67","38"
"02/26/2016","62","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","15","47","7","25","62","31"
"02/27/2016","48","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","13","42","7","11","48","26"
"02/28/2016","53","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","13","41","7","15","53","27"
"02/29/2016","47","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","11","43","7","17","47","35"
"03/01/2016","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","13","49","9","17","43","26"
"03/02/2016","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","11","46","9","13","35","22"
