Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/17,53,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,40,.,15,53,8
1/2/17,38,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,7,38,.,9,34,10
1/3/17,39,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,7,39,.,9,36,11
1/4/17,35,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,35,.,4,35,21
1/5/17,39,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,7,39,.,6,33,28
1/6/17,56,PM2.5,Folsom-Natoma St.,06-067-0012,AQS,7,31,.,18,56,30
1/7/17,43,PM2.5,Folsom-Natoma St.,06-067-0012,AQS,7,31,.,6,43,23
1/8/17,32,Ozone,Davis-UCD Campus,06-113-0004,AQS,7,32,.,4,24,5
1/9/17,37,Ozone,Auburn-Atwood,06-061-0003,AQS,7,37,.,7,24,17
1/10/17,42,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,7,42,.,5,32,8
1/11/17,39,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,3,39,.,6,22,19
1/12/17,56,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,9,34,.,5,56,28
1/13/17,62,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,31,.,12,62,26
1/14/17,62,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,25,.,15,62,19
1/15/17,90,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,24,.,21,90,23
1/16/17,82,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,23,.,20,82,21
1/17/17,78,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,26,.,20,78,18
1/18/17,107,PM2.5,Davis-UCD Campus,06-113-0004,AQS,5,42,.,14,107,14
1/19/17,40,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,3,40,.,7,26,21
1/20/17,41,PM2.5,Davis-UCD Campus,06-113-0004,AQS,3,40,.,7,41,13
1/21/17,44,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,3,44,.,8,29,9
1/22/17,44,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,3,44,.,5,34,15
1/23/17,39,Ozone,Roseville-N Sunrise Ave,06-061-0006,AQS,3,39,.,6,25,23
1/24/17,55,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,37,.,8,55,33
1/25/17,68,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,13,35,3,16,68,28
1/26/17,60,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,38,1,9,60,25
1/27/17,65,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,32,0,20,65,29
1/28/17,98,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,33,0,27,98,33
1/29/17,105,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,38,.,25,105,31
1/30/17,101,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,15,35,.,26,101,33
1/31/17,93,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,31,.,29,93,31
2/1/17,99,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,46,.,22,99,21
2/2/17,53,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,42,.,11,53,21
2/3/17,45,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,41,.,6,45,18
2/4/17,52,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,37,.,6,52,18
2/5/17,54,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,41,.,14,54,21
2/6/17,48,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,6,48,.,6,45,16
2/7/17,44,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,6,44,.,6,36,18
2/8/17,44,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,27,.,6,44,14
2/9/17,57,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,40,.,7,57,14
2/10/17,43,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,43,.,6,43,24
2/11/17,37,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,7,37,.,8,30,16
2/12/17,55,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,9,39,.,21,55,26
2/13/17,63,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,9,33,.,27,63,28
2/14/17,68,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,36,1,31,68,29
2/15/17,82,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,45,3,27,82,24
2/16/17,62,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,3,45,4,14,62,28
2/17/17,46,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,3,46,9,9,38,11
2/18/17,43,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,2,43,7,7,39,13
2/19/17,43,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,3,43,4,7,39,7
2/20/17,44,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,2,44,4,6,36,8
2/21/17,44,Ozone,Placerville-Gold Nugget Way,06-017-0010,AQS,3,44,1,6,35,9
